幣別,現金匯率-本行買入,現金匯率-本行賣出,即期匯率-本行買入,即期匯率-本行賣出
美金,32.375,33.045,32.7,32.85
港幣,4.039,4.243,4.16,4.23
英鎊,40.79,42.91,41.685,42.315
澳幣,21.07,21.85,21.285,21.63
加拿大幣,23.23,24.14,23.56,23.89
新加坡幣,23.92,24.83,24.39,24.61
瑞士法郎,36.62,37.82,37.23,37.62
日圓,0.2086,0.2214,0.2154,0.2204
南非幣,-,-,1.758,1.848
瑞典幣,2.69,3.21,3.02,3.14
紐元,19.04,19.89,19.37,19.67
泰幣,0.7931,0.9831,0.9035,0.9495
菲國比索,0.4963,0.6283,-,-
印尼幣,0.00168,0.00238,-,-
歐元,34.59,35.93,35.105,35.705
韓元,0.02225,0.02615,-,-
越南盾,0.00105,0.00146,-,-
馬來幣,6.148,7.673,-,-
人民幣,4.423,4.585,4.49,4.55
